date,sku,rating,review_text,sentiment_label,sentiment_confidence,sentiment_unified,sentiment_unified_expected,sentiment_all_scores_json,emotion_labels,emotion_scores_json,emotion_top_json,sarcasm_label,sarcasm_confidence,sarcastic,offensive_label,offensive_confidence,is_offensive
2024-11-09,RF-IND-008,4,Excellent cooling performance even during peak summer. Very satisfied.,positive,0.7707273960113525,0.5,0.5362639801740339,"{""very negative"": 0.014967979863286018, ""neutral"": 0.02442777529358864, ""positive"": 0.7707273960113525, ""very positive"": 0.17155218124389648}",admiration,"{""admiration"": 0.9331638216972351}","[{""label"": ""admiration"", ""score"": 0.9331638216972351}, {""label"": ""approval"", ""score"": 0.07154010981321335}, {""label"": ""gratitude"", ""score"": 0.04528460651636124}, {""label"": ""neutral"", ""score"": 0.019264668226242065}, {""label"": ""joy"", ""score"": 0.010110114701092243}]",non_irony,0.602388322353363,False,non-offensive,0.9177484512329102,False
2025-01-24,TV-IND-001,5,"Produit de mauvaise qualite, je suis tres decu. Ne recommande pas.",very negative,0.376915842294693,-1.0,-0.6515037909879426,"{""very negative"": 0.376915842294693, ""neutral"": 0.02833167091012001, ""positive"": 0.024450555443763733, ""very positive"": 0.01673412136733532}",neutral,"{""neutral"": 0.9460828304290771}","[{""label"": ""neutral"", ""score"": 0.9460828304290771}, {""label"": ""approval"", ""score"": 0.029701441526412964}, {""label"": ""disapproval"", ""score"": 0.009891659021377563}, {""label"": ""realization"", ""score"": 0.00757063552737236}, {""label"": ""annoyance"", ""score"": 0.006734327878803015}]",non_irony,0.8884108662605286,False,non-offensive,0.8112044930458069,False
2025-02-27,HP-IND-006,3,Packaging was good but product is just average in terms of quality.,neutral,0.22643636167049408,0.0,0.02154465263355148,"{""very negative"": 0.020769914612174034, ""neutral"": 0.22643636167049408, ""positive"": 0.03994236886501312, ""very positive"": 0.018210014328360558}","disappointment,admiration","{""disappointment"": 0.35051408410072327, ""admiration"": 0.31660306453704834}","[{""label"": ""disappointment"", ""score"": 0.35051408410072327}, {""label"": ""admiration"", ""score"": 0.31660306453704834}, {""label"": ""disapproval"", ""score"": 0.20833034813404083}, {""label"": ""approval"", ""score"": 0.14557017385959625}, {""label"": ""neutral"", ""score"": 0.10623263567686081}]",non_irony,0.5526584982872009,False,non-offensive,0.8434349298477173,False
2024-10-10,MB-IND-002,2,"Installation was a nightmare, instructions were completely wrong.",very negative,0.7697422504425049,-1.0,-0.6977894863586905,"{""very negative"": 0.7697422504425049, ""neutral"": 0.036633219569921494, ""positive"": 0.020193949341773987, ""very positive"": 0.01803928054869175}",disapproval,"{""disapproval"": 0.3163321614265442}","[{""label"": ""disapproval"", ""score"": 0.3163321614265442}, {""label"": ""annoyance"", ""score"": 0.24686093628406525}, {""label"": ""disappointment"", ""score"": 0.15440554916858673}, {""label"": ""neutral"", ""score"": 0.06965956091880798}, {""label"": ""fear"", ""score"": 0.04962696135044098}]",non_irony,0.7851060032844543,False,non-offensive,0.6006593704223633,False
2024-12-03,TV-IND-001,5,Customer service was amazing. They resolved my query within minutes.,positive,0.6071091294288635,0.5,0.5974647468222958,"{""very negative"": 0.017765464261174202, ""neutral"": 0.03513293340802193, ""positive"": 0.6071091294288635, ""very positive"": 0.31808170676231384}",admiration,"{""admiration"": 0.9301038980484009}","[{""label"": ""admiration"", ""score"": 0.9301038980484009}, {""label"": ""approval"", ""score"": 0.06624912470579147}, {""label"": ""neutral"", ""score"": 0.026406768709421158}, {""label"": ""excitement"", ""score"": 0.022681886330246925}, {""label"": ""joy"", ""score"": 0.018670279532670975}]",irony,0.8352649807929993,True,non-offensive,0.9490030407905579,False
2025-01-25,WM-IND-004,2,Love the display and design but the speaker quality is terrible and overheats during gaming.,very negative,0.3773541748523712,-1.0,-0.6110164372537351,"{""very negative"": 0.3773541748523712, ""neutral"": 0.08313998579978943, ""positive"": 0.019871970638632774, ""very positive"": 0.019871970638632774}","love,disgust","{""love"": 0.410555899143219, ""disgust"": 0.3163873255252838}","[{""label"": ""love"", ""score"": 0.410555899143219}, {""label"": ""disgust"", ""score"": 0.3163873255252838}, {""label"": ""admiration"", ""score"": 0.14251857995986938}, {""label"": ""disappointment"", ""score"": 0.14123332500457764}, {""label"": ""annoyance"", ""score"": 0.09878356009721756}]",non_irony,0.6289689540863037,False,non-offensive,0.7254443764686584,False
2024-11-27,AC-IND-005,1,Customer service is non-existent. Been waiting 3 weeks for a response.,very negative,0.4578317105770111,-1.0,-0.579201002717572,"{""very negative"": 0.4578317105770111, ""neutral"": 0.15317650139331818, ""positive"": 0.025456801056861877, ""very positive"": 0.025456801056861877}","disappointment,annoyance","{""disappointment"": 0.5341309905052185, ""annoyance"": 0.31432658433914185}","[{""label"": ""disappointment"", ""score"": 0.5341309905052185}, {""label"": ""annoyance"", ""score"": 0.31432658433914185}, {""label"": ""neutral"", ""score"": 0.20545412600040436}, {""label"": ""disapproval"", ""score"": 0.15114009380340576}, {""label"": ""sadness"", ""score"": 0.023914506658911705}]",non_irony,0.6569333672523499,False,non-offensive,0.8544687032699585,False
2025-02-28,LP-IND-003,3,Product is fine for basic use but power users might find it limiting.,neutral,0.2278260439634323,0.0,0.13598060049171318,"{""very negative"": 0.017182493582367897, ""neutral"": 0.2278260439634323, ""positive"": 0.11778126657009125, ""very positive"": 0.021471703425049782}","neutral,approval","{""neutral"": 0.6480686068534851, ""approval"": 0.39360511302948}","[{""label"": ""neutral"", ""score"": 0.6480686068534851}, {""label"": ""approval"", ""score"": 0.39360511302948}, {""label"": ""realization"", ""score"": 0.027473531663417816}, {""label"": ""optimism"", ""score"": 0.021502286195755005}, {""label"": ""disapproval"", ""score"": 0.013942357152700424}]",non_irony,0.6216647624969482,False,non-offensive,0.8438470363616943,False
2024-10-19,LP-IND-003,3,"Build quality is premium and lightweight. However, the charging speed is disappointingly slow.",neutral,0.09587422013282776,0.0,0.02968834770806593,"{""very negative"": 0.01736418344080448, ""neutral"": 0.09587422013282776, ""positive"": 0.03667640686035156, ""very positive"": 0.013062100857496262}",disappointment,"{""disappointment"": 0.8629612326622009}","[{""label"": ""disappointment"", ""score"": 0.8629612326622009}, {""label"": ""annoyance"", ""score"": 0.09599673002958298}, {""label"": ""neutral"", ""score"": 0.0874459445476532}, {""label"": ""disapproval"", ""score"": 0.08085344731807709}, {""label"": ""sadness"", ""score"": 0.06839059293270111}]",non_irony,0.6970096826553345,False,non-offensive,0.8291838765144348,False
2024-11-15,WM-IND-004,4,Best purchase I have made this year. Great value for money and excellent features.,positive,0.44873490929603577,0.5,0.5963910590069607,"{""very negative"": 0.028467901051044464, ""neutral"": 0.07443559914827347, ""positive"": 0.44873490929603577, ""very positive"": 0.40708863735198975}",admiration,"{""admiration"": 0.947281539440155}","[{""label"": ""admiration"", ""score"": 0.947281539440155}, {""label"": ""approval"", ""score"": 0.04991918429732323}, {""label"": ""gratitude"", ""score"": 0.017717011272907257}, {""label"": ""neutral"", ""score"": 0.016094906255602837}, {""label"": ""realization"", ""score"": 0.006029242649674416}]",non_irony,0.6735737919807434,False,non-offensive,0.953192949295044,False
2024-11-10,TB-IND-007,1,Customer service is non-existent. Been waiting 3 weeks for a response.,very negative,0.4578317105770111,-1.0,-0.579201002717572,"{""very negative"": 0.4578317105770111, ""neutral"": 0.15317650139331818, ""positive"": 0.025456801056861877, ""very positive"": 0.025456801056861877}","disappointment,annoyance","{""disappointment"": 0.5341309905052185, ""annoyance"": 0.31432658433914185}","[{""label"": ""disappointment"", ""score"": 0.5341309905052185}, {""label"": ""annoyance"", ""score"": 0.31432658433914185}, {""label"": ""neutral"", ""score"": 0.20545412600040436}, {""label"": ""disapproval"", ""score"": 0.15114009380340576}, {""label"": ""sadness"", ""score"": 0.023914506658911705}]",non_irony,0.6569333672523499,False,non-offensive,0.8544687032699585,False
2025-01-15,LP-IND-003,1,"Sehr gutes Produkt, schnelle Lieferung und tolle Qualitat. Empfehlenswert!",positive,0.5607585906982422,0.5,0.63179622013243,"{""very negative"": 0.019466347992420197, ""neutral"": 0.01999477855861187, ""positive"": 0.5607585906982422, ""very positive"": 0.3811355233192444}",neutral,"{""neutral"": 0.9314554929733276}","[{""label"": ""neutral"", ""score"": 0.9314554929733276}, {""label"": ""approval"", ""score"": 0.03372388705611229}, {""label"": ""annoyance"", ""score"": 0.009257086552679539}, {""label"": ""admiration"", ""score"": 0.006478950381278992}, {""label"": ""realization"", ""score"": 0.0048216269351542}]",non_irony,0.9127270579338074,False,non-offensive,0.7963050007820129,False
2024-11-21,HP-IND-006,5,Customer service was amazing. They resolved my query within minutes.,positive,0.6071091294288635,0.5,0.5974647468222958,"{""very negative"": 0.017765464261174202, ""neutral"": 0.03513293340802193, ""positive"": 0.6071091294288635, ""very positive"": 0.31808170676231384}",admiration,"{""admiration"": 0.9301038980484009}","[{""label"": ""admiration"", ""score"": 0.9301038980484009}, {""label"": ""approval"", ""score"": 0.06624912470579147}, {""label"": ""neutral"", ""score"": 0.026406768709421158}, {""label"": ""excitement"", ""score"": 0.022681886330246925}, {""label"": ""joy"", ""score"": 0.018670279532670975}]",irony,0.8352649807929993,True,non-offensive,0.9490030407905579,False
2024-11-19,TV-IND-001,4,Customer service was amazing. They resolved my query within minutes.,positive,0.6071091294288635,0.5,0.5974647468222958,"{""very negative"": 0.017765464261174202, ""neutral"": 0.03513293340802193, ""positive"": 0.6071091294288635, ""very positive"": 0.31808170676231384}",admiration,"{""admiration"": 0.9301038980484009}","[{""label"": ""admiration"", ""score"": 0.9301038980484009}, {""label"": ""approval"", ""score"": 0.06624912470579147}, {""label"": ""neutral"", ""score"": 0.026406768709421158}, {""label"": ""excitement"", ""score"": 0.022681886330246925}, {""label"": ""joy"", ""score"": 0.018670279532670975}]",irony,0.8352649807929993,True,non-offensive,0.9490030407905579,False
2024-12-16,TV-IND-001,4,The processor handles multitasking effortlessly. No lag whatsoever.,neutral,0.7597368359565735,0.0,0.00797338825580054,"{""very negative"": 0.045921143144369125, ""neutral"": 0.7597368359565735, ""positive"": 0.05292467027902603, ""very positive"": 0.05003025010228157}","admiration,approval,neutral","{""admiration"": 0.3868221342563629, ""approval"": 0.3720160722732544, ""neutral"": 0.3502216339111328}","[{""label"": ""admiration"", ""score"": 0.3868221342563629}, {""label"": ""approval"", ""score"": 0.3720160722732544}, {""label"": ""neutral"", ""score"": 0.3502216339111328}, {""label"": ""realization"", ""score"": 0.014902401715517044}, {""label"": ""pride"", ""score"": 0.008550484664738178}]",irony,0.5463454127311707,True,non-offensive,0.8667475581169128,False
2025-01-07,LP-IND-003,3,"Produit moyen, rien de special. Correct pour le prix.",neutral,0.5150242447853088,0.0,-0.05506495812182074,"{""very negative"": 0.06442885845899582, ""neutral"": 0.5150242447853088, ""positive"": 0.053058139979839325, ""very positive"": 0.03008083999156952}","neutral,approval","{""neutral"": 0.7311878800392151, ""approval"": 0.37109485268592834}","[{""label"": ""neutral"", ""score"": 0.7311878800392151}, {""label"": ""approval"", ""score"": 0.37109485268592834}, {""label"": ""realization"", ""score"": 0.009801529347896576}, {""label"": ""disapproval"", ""score"": 0.0073822857812047005}, {""label"": ""optimism"", ""score"": 0.0072937230579555035}]",non_irony,0.9293095469474792,False,non-offensive,0.8186534643173218,False
